model,MAE,RMSE,R2,MedAE,P90AE,MaxAE,Bias,val_MAE
RandomForest,0.04779577689127747,0.09879897311230842,0.9172305903587775,0.02436995473577941,0.09565441249639288,0.9667170487735195,-0.0020792746997446414,0.06297392531563621
LSTM,0.05969630926847458,0.11861795939744763,0.8806930184364319,0.03364753723144531,0.11411474645137787,1.1767358779907227,0.009481612592935562,0.07397036254405975
BiLSTM,0.05359898507595062,0.10369904031420979,0.9088168740272522,0.03250932693481445,0.10354257375001907,1.3602523803710938,0.015399957075715065,0.06912422925233841
Persistence,0.04760089889168739,0.11456312241543867,0.8887103796005249,0.020000457763671875,0.09999942779541016,1.5299997329711914,-0.0002855007187463343,
PolyReg_deg1,0.05340164238142125,0.10755074102927535,0.9019174360056954,0.0280296986068711,0.11117913912508544,1.4162571914463342,-0.0001972805178785917,
