model,family,n_params,epochs_run,best_epoch,train_seconds,val_RMSE,test_MAE,test_RMSE,test_R2
SimpleRNN,deep,9409,7,1,24.6,0.27793440222740173,0.0535522885620594,0.11448105171917643,0.8888697624206543
LSTM,deep,24769,14,8,68.1,0.2545851469039917,0.05763484910130501,0.11236385362553272,0.8929422497749329
BiLSTM,deep,57729,8,2,83.3,0.24856820702552795,0.05598760396242142,0.10377778289543486,0.9086783528327942
GRU,deep,19649,14,8,92.8,0.2438049167394638,0.05895154923200607,0.11317426052236382,0.8913923501968384
CNN1D,deep,27585,12,6,45.2,0.26400378346443176,0.05160393938422203,0.10160365554607224,0.9124646186828613
CNN_LSTM,deep,52673,24,18,184.5,0.2478133738040924,0.07315398007631302,0.12484924717880691,0.8678287863731384
Persistence,baseline,0,0,0,0.0,,0.04760089889168739,0.11456312241543867,0.8887103796005249
PolyReg_deg1,classical,18,0,0,0.0,,0.05340164238142125,0.10755074102927535,0.9019174360056954
