model_a,model_b,metric,value_a,value_b,winner,abs_diff,pct_improvement,significant,significance_source
RandomForest,LSTM,RMSE,0.09879897311230842,0.11861795939744763,RandomForest,0.0198189862851392,16.70825091395533,False,DM(squared) AND bootstrap(RMSE)
RandomForest,LSTM,MAE,0.04779577689127747,0.05969630926847458,RandomForest,0.011900532377197112,19.935122494217147,True,DM(absolute) AND bootstrap(MAE)
RandomForest,LSTM,MedAE,0.02436995473577941,0.03364753723144531,RandomForest,0.009277582495665904,27.572842647739275,True,DM(absolute) AND bootstrap(MAE)
RandomForest,LSTM,P90AE,0.09565441249639288,0.11411474645137787,RandomForest,0.01846033395498499,16.176992482606607,True,DM(absolute) AND bootstrap(MAE)
RandomForest,LSTM,R2,0.9172305903587775,0.8806930184364319,RandomForest,0.036537571922345635,4.148729597881206,False,DM(squared) AND bootstrap(RMSE)
RandomForest,BiLSTM,RMSE,0.09879897311230842,0.10369904031420979,RandomForest,0.004900067201901365,4.725277289986562,False,DM(squared) AND bootstrap(RMSE)
RandomForest,BiLSTM,MAE,0.04779577689127747,0.05359898507595062,RandomForest,0.005803208184673156,10.827085954052892,True,DM(absolute) AND bootstrap(MAE)
RandomForest,BiLSTM,MedAE,0.02436995473577941,0.03250932693481445,RandomForest,0.008139372199035044,25.037036956672694,True,DM(absolute) AND bootstrap(MAE)
RandomForest,BiLSTM,P90AE,0.09565441249639288,0.10354257375001907,RandomForest,0.007888161253626194,7.618278132307621,True,DM(absolute) AND bootstrap(MAE)
RandomForest,BiLSTM,R2,0.9172305903587775,0.9088168740272522,RandomForest,0.008413716331525323,0.9257878646378461,False,DM(squared) AND bootstrap(RMSE)
LSTM,BiLSTM,RMSE,0.11861795939744763,0.10369904031420979,BiLSTM,0.014918919083237836,12.577285226472085,False,DM(squared) AND bootstrap(RMSE)
LSTM,BiLSTM,MAE,0.05969630926847458,0.05359898507595062,BiLSTM,0.006097324192523956,10.21390479116928,False,DM(absolute) AND bootstrap(MAE)
LSTM,BiLSTM,MedAE,0.03364753723144531,0.03250932693481445,BiLSTM,0.0011382102966308594,3.382744742361544,False,DM(absolute) AND bootstrap(MAE)
LSTM,BiLSTM,P90AE,0.11411474645137787,0.10354257375001907,BiLSTM,0.010572172701358795,9.264510530077196,False,DM(absolute) AND bootstrap(MAE)
LSTM,BiLSTM,R2,0.8806930184364319,0.9088168740272522,BiLSTM,0.028123855590820312,3.1933778288319976,False,DM(squared) AND bootstrap(RMSE)
